
            Primeiras 250 pesquisas

Tempo de execução: 0.000000200, Linha no dataset: 0
Tempo de execução: 0.000002700, Linha no dataset: 264
Tempo de execução: 0.000002900, Linha no dataset: 528
Tempo de execução: 0.000003200, Linha no dataset: 792
Tempo de execução: 0.000004000, Linha no dataset: 1056
Tempo de execução: 0.000004700, Linha no dataset: 1320
Tempo de execução: 0.000004600, Linha no dataset: 1584
Tempo de execução: 0.000005200, Linha no dataset: 1848
Tempo de execução: 0.000005900, Linha no dataset: 2112
Tempo de execução: 0.000006000, Linha no dataset: 2376
Tempo de execução: 0.000006300, Linha no dataset: 2640
Tempo de execução: 0.000006700, Linha no dataset: 2904
Tempo de execução: 0.000007800, Linha no dataset: 3168
Tempo de execução: 0.000008300, Linha no dataset: 3432
Tempo de execução: 0.000008500, Linha no dataset: 3696
Tempo de execução: 0.000008600, Linha no dataset: 3960
Tempo de execução: 0.000022900, Linha no dataset: 4224
Tempo de execução: 0.000011200, Linha no dataset: 4488
Tempo de execução: 0.000010700, Linha no dataset: 4752
Tempo de execução: 0.000012900, Linha no dataset: 5016
Tempo de execução: 0.000012400, Linha no dataset: 5280
Tempo de execução: 0.000013200, Linha no dataset: 5544
Tempo de execução: 0.000014400, Linha no dataset: 5808
Tempo de execução: 0.000014700, Linha no dataset: 6072
Tempo de execução: 0.000014600, Linha no dataset: 6336
Tempo de execução: 0.000058900, Linha no dataset: 6600
Tempo de execução: 0.000050000, Linha no dataset: 6864
Tempo de execução: 0.000046300, Linha no dataset: 7128
Tempo de execução: 0.000016800, Linha no dataset: 7392
Tempo de execução: 0.000015800, Linha no dataset: 7656
Tempo de execução: 0.000015600, Linha no dataset: 7920
Tempo de execução: 0.000017800, Linha no dataset: 8184
Tempo de execução: 0.000017500, Linha no dataset: 8448
Tempo de execução: 0.000017400, Linha no dataset: 8712
Tempo de execução: 0.000018900, Linha no dataset: 8976
Tempo de execução: 0.000019900, Linha no dataset: 9240
Tempo de execução: 0.000021200, Linha no dataset: 9504
Tempo de execução: 0.000023100, Linha no dataset: 9768
Tempo de execução: 0.000022000, Linha no dataset: 10032
Tempo de execução: 0.000024100, Linha no dataset: 10296
Tempo de execução: 0.000023900, Linha no dataset: 10560
Tempo de execução: 0.000026600, Linha no dataset: 10824
Tempo de execução: 0.000028300, Linha no dataset: 11088
Tempo de execução: 0.000030600, Linha no dataset: 11352
Tempo de execução: 0.000032500, Linha no dataset: 11616
Tempo de execução: 0.000048900, Linha no dataset: 11880
Tempo de execução: 0.000048700, Linha no dataset: 12144
Tempo de execução: 0.000052100, Linha no dataset: 12408
Tempo de execução: 0.000305100, Linha no dataset: 12672
Tempo de execução: 0.000048700, Linha no dataset: 12936
Tempo de execução: 0.000038000, Linha no dataset: 13200
Tempo de execução: 0.000041700, Linha no dataset: 13464
Tempo de execução: 0.000069800, Linha no dataset: 13728
Tempo de execução: 0.000045000, Linha no dataset: 13992
Tempo de execução: 0.000047000, Linha no dataset: 14256
Tempo de execução: 0.000048500, Linha no dataset: 14520
Tempo de execução: 0.000049400, Linha no dataset: 14784
Tempo de execução: 0.000064000, Linha no dataset: 15048
Tempo de execução: 0.000305200, Linha no dataset: 15312
Tempo de execução: 0.001002500, Linha no dataset: 15576
Tempo de execução: 0.000113800, Linha no dataset: 15840
Tempo de execução: 0.000061100, Linha no dataset: 16104
Tempo de execução: 0.000056000, Linha no dataset: 16368
Tempo de execução: 0.000059200, Linha no dataset: 16632
Tempo de execução: 0.000057200, Linha no dataset: 16896
Tempo de execução: 0.000133700, Linha no dataset: 17160
Tempo de execução: 0.000106700, Linha no dataset: 17424
Tempo de execução: 0.000072700, Linha no dataset: 17688
Tempo de execução: 0.000062500, Linha no dataset: 17952
Tempo de execução: 0.000065200, Linha no dataset: 18216
Tempo de execução: 0.000068500, Linha no dataset: 18480
Tempo de execução: 0.000091600, Linha no dataset: 18744
Tempo de execução: 0.000087700, Linha no dataset: 19008
Tempo de execução: 0.000094700, Linha no dataset: 19272
Tempo de execução: 0.000131100, Linha no dataset: 19536
Tempo de execução: 0.000124100, Linha no dataset: 19800
Tempo de execução: 0.000089100, Linha no dataset: 20064
Tempo de execução: 0.000072800, Linha no dataset: 20328
Tempo de execução: 0.000064500, Linha no dataset: 20592
Tempo de execução: 0.000078000, Linha no dataset: 20856
Tempo de execução: 0.000072200, Linha no dataset: 21120
Tempo de execução: 0.000139700, Linha no dataset: 21384
Tempo de execução: 0.000136900, Linha no dataset: 21648
Tempo de execução: 0.000147300, Linha no dataset: 21912
Tempo de execução: 0.000123000, Linha no dataset: 22176
Tempo de execução: 0.000122400, Linha no dataset: 22440
Tempo de execução: 0.000303800, Linha no dataset: 22704
Tempo de execução: 0.000187500, Linha no dataset: 22968
Tempo de execução: 0.000163500, Linha no dataset: 23232
Tempo de execução: 0.000160600, Linha no dataset: 23496
Tempo de execução: 0.000224200, Linha no dataset: 23760
Tempo de execução: 0.000146900, Linha no dataset: 24024
Tempo de execução: 0.000297300, Linha no dataset: 24288
Tempo de execução: 0.000195700, Linha no dataset: 24552
Tempo de execução: 0.000154500, Linha no dataset: 24816
Tempo de execução: 0.000171100, Linha no dataset: 25080
Tempo de execução: 0.000143500, Linha no dataset: 25344
Tempo de execução: 0.000206100, Linha no dataset: 25608
Tempo de execução: 0.000152300, Linha no dataset: 25872
Tempo de execução: 0.000152700, Linha no dataset: 26136
Tempo de execução: 0.000154000, Linha no dataset: 26400
Tempo de execução: 0.000150000, Linha no dataset: 26664
Tempo de execução: 0.000140000, Linha no dataset: 26928
Tempo de execução: 0.000134100, Linha no dataset: 27192
Tempo de execução: 0.000148400, Linha no dataset: 27456
Tempo de execução: 0.000155400, Linha no dataset: 27720
Tempo de execução: 0.000181300, Linha no dataset: 27984
Tempo de execução: 0.000161800, Linha no dataset: 28248
Tempo de execução: 0.000154700, Linha no dataset: 28512
Tempo de execução: 0.000214200, Linha no dataset: 28776
Tempo de execução: 0.000170700, Linha no dataset: 29040
Tempo de execução: 0.000166900, Linha no dataset: 29304
Tempo de execução: 0.000160500, Linha no dataset: 29568
Tempo de execução: 0.000162000, Linha no dataset: 29832
Tempo de execução: 0.000160400, Linha no dataset: 30096
Tempo de execução: 0.000160200, Linha no dataset: 30360
Tempo de execução: 0.000167200, Linha no dataset: 30624
Tempo de execução: 0.000172400, Linha no dataset: 30888
Tempo de execução: 0.000181400, Linha no dataset: 31152
Tempo de execução: 0.000183000, Linha no dataset: 31416
Tempo de execução: 0.000196000, Linha no dataset: 31680
Tempo de execução: 0.000184000, Linha no dataset: 31944
Tempo de execução: 0.000183000, Linha no dataset: 32208
Tempo de execução: 0.000180400, Linha no dataset: 32472
Tempo de execução: 0.000183200, Linha no dataset: 32736
Tempo de execução: 0.000190800, Linha no dataset: 33000
Tempo de execução: 0.000285000, Linha no dataset: 33264
Tempo de execução: 0.000216200, Linha no dataset: 33528
Tempo de execução: 0.000263700, Linha no dataset: 33792
Tempo de execução: 0.000215800, Linha no dataset: 34056
Tempo de execução: 0.000252100, Linha no dataset: 34320
Tempo de execução: 0.000258300, Linha no dataset: 34584
Tempo de execução: 0.000250900, Linha no dataset: 34848
Tempo de execução: 0.000211500, Linha no dataset: 35112
Tempo de execução: 0.000197000, Linha no dataset: 35376
Tempo de execução: 0.000203800, Linha no dataset: 35640
Tempo de execução: 0.000205400, Linha no dataset: 35904
Tempo de execução: 0.000199000, Linha no dataset: 36168
Tempo de execução: 0.000204200, Linha no dataset: 36432
Tempo de execução: 0.000207700, Linha no dataset: 36696
Tempo de execução: 0.000207200, Linha no dataset: 36960
Tempo de execução: 0.000226800, Linha no dataset: 37224
Tempo de execução: 0.000249400, Linha no dataset: 37488
Tempo de execução: 0.000225200, Linha no dataset: 37752
Tempo de execução: 0.000227000, Linha no dataset: 38016
Tempo de execução: 0.000252900, Linha no dataset: 38280
Tempo de execução: 0.000207200, Linha no dataset: 38544
Tempo de execução: 0.000163100, Linha no dataset: 38808
Tempo de execução: 0.000368200, Linha no dataset: 39072
Tempo de execução: 0.000321500, Linha no dataset: 39336
Tempo de execução: 0.000297400, Linha no dataset: 39600
Tempo de execução: 0.000367600, Linha no dataset: 39864
Tempo de execução: 0.000227800, Linha no dataset: 40128
Tempo de execução: 0.000264100, Linha no dataset: 40392
